product,sales,region
Smartphone Pro,2500,North
Laptop Gaming,1800,South
Tablet Air,1200,East
Smartphone Pro,2900,West
Headphones Wireless,800,North
Laptop Gaming,2100,East
Tablet Air,1500,South
Smartphone Pro,3200,North
Headphones Wireless,750,West
Laptop Gaming,1950,North
Tablet Air,1350,East
Smartphone Pro,2800,South
Headphones Wireless,900,East
Laptop Gaming,2200,West
Tablet Air,1600,North
Smartphone Pro,3100,East
Headphones Wireless,820,South
Laptop Gaming,2300,North
Tablet Air,1400,West
Smartphone Pro,2700,East
Headphones Wireless,880,North
Laptop Gaming,2050,South
Tablet Air,1550,East
Smartphone Pro,3000,West
Headphones Wireless,920,East
Laptop Gaming,2150,North
Tablet Air,1250,South
Smartphone Pro,2850,East
Headphones Wireless,950,North
Laptop Gaming,2000,West
Tablet Air,1450,North
Smartphone Pro,2950,South
Headphones Wireless,850,East
Laptop Gaming,2250,East
Tablet Air,1650,West
Smartphone Pro,2650,North
Headphones Wireless,780,South
Laptop Gaming,1900,East
Tablet Air,1150,North
Smartphone Pro,3300,West
